,0
3360,contributed to observations
4102,contributed to one section
4038,contributed to overall image analysis 
5169,contributed to overall project design 
2214,contributed to paper format 
4368,contributed to paper writing
8136,contributed to participant recruitment 
3213,contributed to performing the experiments
2968,contributed to pilot 
8138,contributed to preparation of genomic 
5455,contributed to processing the genotype data for analysis
4027,contributed to project development
2649,contributed to project supervision 
7950,contributed to protein expression
3184,contributed to repertoire analysis
2965,contributed to research design
2717,contributed to research planning
2848,contributed to result interpretation
1076,contributed to reviewing the manuscript
911,contributed to revising the paper
347,contributed to revision of the manuscript
1400,contributed to revisions
6104,contributed to revisions of the paper
3434,contributed to sample acquisition 
1080,contributed to sample alignment
3513,contributed to sample analysis
1079,contributed to sample characterization
5230,contributed to sample characterization 
2742,contributed to sample collection
779,contributed to sample preparation
2741,contributed to sampling design
5066,contributed to scientific discussion
2445,contributed to scientific discussion of the article
871,contributed to scientific discussions
647,contributed to scientific discussions 
5376,contributed to sections of the paper 
8139,contributed to sequencing 
424,contributed to st
2252,contributed to strain construction
4626,contributed to study conceptualization
3720,contributed to study design
5140,contributed to study development 
7941,contributed to the analysis of experiments
2143,contributed to the analysis of the mathematical model
5042,contributed to the analysis of them
5543,contributed to the analysis plan
117,contributed to the analytic approach
3922,contributed to the analytical framing of the paper
517,contributed to the analytical methods
21,contributed to the background literature review
520,contributed to the coding
4953,contributed to the collection
5106,contributed to the computations of benchmark 
437,contributed to the concept of interplanetary dust as an explanation of results
438,contributed to the concept of the photochemical explanations of the results
794,contributed to the conception 
1588,contributed to the conception of the core theme of the study
4178,contributed to the conception of the project
2643,contributed to the conception of this work 
4465,contributed to the conceptual development of data coding schemes
5801,contributed to the conceptual layout
1040,contributed to the conceptualization
8479,contributed to the construction 
547,contributed to the content
1359,contributed to the core code development 
39,contributed to the data analysis
38,contributed to the data collection
5104,contributed to the data mining aspects of the problem
5334,contributed to the design
1232,contributed to the design 
5172,contributed to the design of studies 
5444,contributed to the design of the problems
7184,contributed to the design of the recoded genes
5276,contributed to the design of the recoded respiratory syncytial virus genes
5558,contributed to the design of the statistical model
7117,contributed to the design of the validation experimen
2416,contributed to the development 
977,contributed to the development of analysis tools
4462,contributed to the development of data coding schemes
6345,contributed to the development of the application
5542,contributed to the development of the clinical study
6808,contributed to the development of the implantable chamber 
7115,contributed to the development of the model 
858,contributed to the development of the project
8354,contributed to the development of the simplified model
1587,contributed to the development of this manuscript
4482,contributed to the discussion 
2064,contributed to the discussion of results
2759,contributed to the discussion of the project
2192,contributed to the discussion of the results 
494,contributed to the discussions 
1744,contributed to the drafts 
3755,contributed to the early manuscript
4293,contributed to the editing of the paper
361,contributed to the establishment 
4833,contributed to the experiment 
2124,contributed to the experiment design by speculating very quick changes of expression
2686,contributed to the experimental design
1488,contributed to the expertise of cellular temperature perturbations 
4002,contributed to the fieldwork
2952,contributed to the final editing of the paper
130,contributed to the final manuscript
5841,contributed to the final manuscript preparation
6001,contributed to the final text
3865,contributed to the final version of the manuscript
5540,contributed to the immunohistochemical analysis of human tissue
4516,contributed to the implementation of the experiments
4208,contributed to the implementation of the study
5538,contributed to the in vivo 
6208,contributed to the initial concept
8187,contributed to the initial dataset
550,contributed to the initial experiments 
6263,contributed to the initial setup of microscopy
6155,contributed to the intellectual contents of this work
4100,contributed to the interpretation 
2541,contributed to the interpretation of inversions
2248,contributed to the interpretation of results
677,contributed to the interpretation of results 
1633,contributed to the interpretation of the data 
6627,contributed to the interpretation of the model results
798,contributed to the interpretation of the results
5192,contributed to the interpretation of the results 
4719,contributed to the literature review 
1129,contributed to the main model design as well as to data collection done with for model optimization
2989,contributed to the manuscript writing
37,contributed to the mathematical modeling
1968,contributed to the measurements
1680,contributed to the model
4219,contributed to the modeling
267,contributed to the multiscale framework
6810,contributed to the optimization of the implantable chamber 
3983,contributed to the organization of the manuscript
34,contributed to the original idea
5492,contributed to the original idea 
7942,contributed to the oversight
981,contributed to the paper
2817,contributed to the peptide repertoire data collection 
5541,contributed to the phosphoproteomic analysis of human tissue
5547,contributed to the phosphorus cycle analysis 
5923,contributed to the planning of observations of the field targets
2854,contributed to the population genetic analysis
5333,contributed to the project leadership
625,contributed to the proton radiography development 
1193,contributed to the recruitment 
3090,contributed to the research
7797,contributed to the results presented in 
1260,contributed to the revision
1143,contributed to the revision 
232,contributed to the revision modeling
5393,contributed to the revisions of the paper
7088,contributed to the sample preparation
627,contributed to the scattering diagnostics
2981,contributed to the sequencing analyses
7778,contributed to the single crystal diffraction
699,contributed to the study design 
4887,contributed to the theoretical analysis
35,contributed to the theoretical development 
2789,contributed to the theoretical discussion
4587,contributed to the theoretical model
7223,contributed to the theoretical work
6679,contributed to the theory
7999,contributed to the theory 
4853,contributed to the underst
2868,contributed to the writing
5187,contributed to the writing 
3077,contributed to the writing of supporting information
5461,contributed to the writing of the final version of the paper
40,contributed to the writing of the manuscript
1729,contributed to the writing of the paper
1374,contributed to theoretical calculations
25,contributed to theoretical modeling
7963,contributed to theory development
7165,contributed to this work by acquiring data at telescopes
1818,contributed to toggle 
4800,contributed to trophallaxis detector development
8055,contributed to two chamber experiments
398,contributed to visualization
1225,contributed to writing
5342,contributed to writing 
7219,contributed to writing ext xlink xlink toggle 
7236,contributed to writing of the manuscript
358,contributed to writing of the paper
5473,contributed to writing the manuscript
2012,contributed to writing the original draft
1835,contributed to writing the paper
1324,contributed to writing the paper 
5457,contributed to writing the toggle
3378,contributed toggle 
8188,contributed toggle bicolor sequence
5348,contributed toggle mice
2407,contributed toward writing the manuscript via suggested edits
5819,contributed transcriptome assembly data
8416,contributed two control experiments cytometry 
8516,contributed unique biological material
3836,contributed useful discussions
5286,contributed useful ideas
4974,contributed valuable insight
8427,contributed valuable material
5820,contributed whole sequence data
5436,contributed whole sequencing data
2636,contributed with a dataset
3195,contributed with analytic tools
2063,contributed with biological material
2635,contributed with datasets
2264,contributed with liquid crystal reagents
7536,contributed with technical 
6347,contributed with tool development
359,contributed writing 
3824,contributed zircon 
8299,contributednewreagents tools
4729,contributing additional technical material
2511,contributing to defining instruments 
90,contributions
1178,contributions from 
3147,contributions from all authors
87,contributions regarding oral history 
5124,control autopsy samples
2553,control cohorts 
5123,control samples
1687,controlled molecular dynamics simulation
3154,cooperated in development of conceptual model tested in vivo
4281,coordinate their storage 
656,coordinated 
5282,coordinated all experiments
6036,coordinated all investigators for the project
4506,coordinated all research
2830,coordinated archaeological excavations
4274,coordinated biological sample 
1068,coordinated clinical data
2661,coordinated clinical sample acquisitions from pregnant subjects
1794,coordinated coauthor contributions
2006,coordinated crop model harmonization
5643,coordinated cross researchers
3280,coordinated data acquisition
8062,coordinated data collection
3311,coordinated data provision
1268,coordinated donor eye collection 
8032,coordinated experiments
7895,coordinated functional experiments
7892,coordinated genotyping of studies
5963,coordinated human blood samples
2242,coordinated id overflow mathvariant program
5496,coordinated international collaboration
8064,coordinated manuscript preparation
7367,coordinated microbiome sequencing
8458,coordinated nonhuman primate studies
597,coordinated patient care 
4468,coordinated patient enrollment 
8409,coordinated patient information 
5847,coordinated patient recruitment
8361,coordinated patient recruitment 
7896,coordinated phenotypic information
1883,coordinated research
2850,coordinated research activities
2352,coordinated saliva collection
4554,coordinated sample acquisition in 
4552,coordinated sample acquisition in the 
3834,coordinated sample collection
6612,coordinated sampling campaigns
6913,coordinated study
6413,coordinated the 
6862,coordinated the acquisition of the archaeological sample material 
7290,coordinated the analysis
6410,coordinated the ancestry team of the project
6412,coordinated the basic analyses team of the project
6417,coordinated the bioinformatics team of the project
8412,coordinated the clinical aspects of the research
6415,coordinated the cohort
2466,coordinated the collaborative study 
3225,coordinated the collection of blood plasma 
6966,coordinated the effort
4421,coordinated the entire study
6321,coordinated the ex vivo drug sensitivity experiments
4760,coordinated the experiments
6947,coordinated the general strategy of the project
4831,coordinated the geographic information system operations
6411,coordinated the inputation team of the project
258,coordinated the internal review process
7195,coordinated the manuscript
4017,coordinated the molecular dynamics simulations
2018,coordinated the overall study
8540,coordinated the portion of the sequencing
5974,coordinated the program from 
379,coordinated the project
1339,coordinated the research
8101,coordinated the research of the 
2995,coordinated the research teams in 
2073,coordinated the sequencing 
4021,coordinated the simulations
658,coordinated the study
6452,coordinated the study as 
2961,coordinated the study in glioblastoma
5872,coordinated the theoretical work
2296,coordinated the work
5760,coordinated the writing of the manuscript
6866,coordinated this study
503,coordinated tree data compilation with the 
5803,coordination
6461,core
3744,corrected the manuscript
2865,corrections from 
2029,corrections in the manuscript
6457,costs
3445,cosupervised 
4558,cosupervised small intestinal bacterial overgrowth analysis in the 
6939,cosupervised the conduct of the study
4300,cosupervised the study
5191,cowrote portions of the manuscript
1433,cowrote the paper
845,created 
5179,created a mathematical model requested by the reviewer
3092,created all figures
2826,created data visualizations
3793,created expression vectors
141,created figures
1710,created figures 
5730,created fusion proteins
6729,created maps
4671,created model figures
5731,created patterned 
5734,created sf garments
6357,created the 
7418,created the bone marrow chimeras
1664,created the data set
5975,created the dataset
6441,created the experimental software 
2234,created the figure
290,created the figures
5728,created the genetic engineering toolkit
6522,created the infrastructure for the human studies
4779,created the machine algorithm
5070,created the model
796,created the models 
6304,created the p algorithm 
5844,created the pathway database 
7196,created the reconstruction of the engraving
5729,created the s construct
8148,created the structural models
1597,created the tabl authors edited the manuscript
2684,created the table
72,created toggle aeruginosa strains
2648,created visualization
6469,created visualizations
1667,created visuals
469,creating survey of participants
7061,crew chiefs 
6262,critical advice
5343,critical assessment of the manuscript
266,critical feedback
4485,critical input throughout the project 
1092,critical therapeutic insights
3644,critically assessed the manuscript
3219,critically commented on the manuscript
2479,critically edited the paper
6129,critically read the manuscript
5491,critically reviewed the letter
28,critically reviewed the manuscript
5489,critically reviewed the paper 
1272,critically reviewed work
561,critically revised the manuscript
1904,critically revised the paper
1327,critiqued the manuscript
2852,crucian carp materials
948,cryo data collection which was done by 
1860,cryo tomography analysis
7491,cryocooled the crystals
1390,crystal growth
7522,crystal structure determination
3140,crystallization
3403,crystallization leading to the 
3911,crystallized
7791,crystallized 
6018,crystallized adenosine receptor containing a thermostabilized apocytochrome b
6016,crystallized bacteriorhodopsin
1999,crystallized proteins
5560,crystallized proteins 
7922,crystallized the complex
6430,crystallized the protein
8338,crystallized the proteins 
6254,crystallized toggle
4084,crystallography
4043,cultivated bacteria
4049,cultivated bacteria 
1951,cultivated the two strains of dinoflagellates used in this study
1392,cultivated the wheat plants
6206,culture
8123,cultured
5233,cultured fibroblasts 
3153,cultured foraminifera
4882,cultured organisms
6495,cultured the 
2832,curated
3011,curated 
660,curated airborne pollen data
3325,curated all data
313,curated data
257,curated datasets
878,curated other plant morphological datasets
4031,curated reconstructions
734,curated the data
1081,cutting
6466,cytoarchitectonic
155,cytokine expression
5628,d
3698,d analyzed data
7190,d coordinated the manuscript 
3697,d designed research
2698,d performed research
3699,d wrote the paper
5990,d wrote the paper with contributions from 
1518,data
1524,data 
7994,data acquisition
3113,data analyses
7386,data analysi 
522,data analysis
526,data analysis 
1128,data analysis for model optimization
7136,data analysis with input 
2478,data archive
467,data cleaning
1127,data collection
1194,data collection for this project at the international sites
332,data curation
626,data extraction
4453,data generation
7432,data integration
236,data interpretation
1944,data interpretation 
5715,data management
4430,data of the same melanoma cell line
7500,data on fossil biota
2598,data processing
7024,data reduction
326,data to the study
2682,data up to 
6146,data validation
2814,data visualization
7363,database
6138,database 
8538,database preparation 
1533,databasing
5434,datasets
6802,date the ice core
4774,dated the stalagmites
3391,de
5098,de 
3392,de analyzed data
3389,de designed research
3390,de performed research
3393,de wrote the paper
6470,defined edges 
6455,defined nodes
7878,defined the phenotype of patients
2371,defined the problem
7694,delivered 
8440,deposited coordinates
8396,deposited microarray data
8398,deposited the atomic coordinates
8306,derived analytical results
8388,derived hybrid cell lines
3018,derived the formulas
1821,derived the gradient expression 
8549,derived the mathematical model
5450,derived the mathematical results in toggle 
612,derived the model
1848,derived the model 
930,derived the theoretical results
949,derived the theory
8114,derived the two threshold quantities
6508,derived wind chime model
1824,descrambled the denoising network
1823,descrambled the middle weight matrix of the with three fully connected layers
2833,described analyzed teeth
6742,described hatching 
622,described in situ spores
2319,described the procedures
7032,described the results
4295,description of core
850,design
2399,design of key figures
423,design of st
4518,design of the experiments
2383,design of the genomic studies
795,design of the research
2280,design the experiment
628,designed
71,designed 
2291,designed a user interface
6186,designed aerosol emissions 
6965,designed all aspects of the project 
644,designed all aspects of the research
5906,designed all biochemical experiments
5907,designed all experiments
4980,designed analyses
1732,designed analysis workflow
6987,designed analytical approach
4873,designed animal experiments
3689,designed animal studies
1606,designed behavioral studies
6312,designed clinical studies 
5580,designed cluster analysis tools
2818,designed cohorts 
4081,designed compounds
2898,designed computational research
4302,designed custom components
6990,designed data collection protocols
3414,designed electron microscopy experiments
4791,designed example application
8218,designed experiment
2897,designed experimental research
6166,designed experimental setups
6167,designed experimental setups 
256,designed experiments
7598,designed experiments 
3908,designed expression constructs 
6707,designed field work
1804,designed figures
5433,designed figures 
5240,designed fluorescent lig
6792,designed glycan analysis
5322,designed histological research
555,designed imaging setup 
6311,designed individual projects
917,designed inhibitors
4471,designed instrumentation
7122,designed integrated circuits
5962,designed intervention
7216,designed laser 
1602,designed magnetic resonance imaging
7872,designed materials
3423,designed mathematical modeling
3425,designed mathematical modeling 
8400,designed mathematical models 
7779,designed measurements in single cells
4735,designed measures 
3193,designed methodology
1902,designed methodology 
8039,designed modeling research
8210,designed mouse mitochondria assay
7366,designed multicolor analyses
6984,designed mutations
6625,designed new agonists
8050,designed new analytic tools
5757,designed numerical approaches
5007,designed overall research
2564,designed overall research project
7284,designed part of the research
5008,designed petrography strategy
1030,designed plasmids
8444,designed primers
3784,designed project
7007,designed quantitative analyses
844,designed quantitative molecular assays
7531,designed radiocarbon pretreatment protocol
7537,designed reseach
8371,designed researc
5043,designed researc 
7566,designed researc performed research
0,designed research
367,designed research 
983,designed research after discussion with 
3439,designed research approaches
3695,designed research based on re 
6630,designed research or research tools
6875,designed research performed research
3410,designed research questions
7818,designed research strategy
5940,designed research study
8280,designed research with additions from 
3712,designed research with contributions from 
1672,designed research with help from 
1647,designed research with input from 
3863,designed research with technical advice from 
1147,designed research with the support of 
7451,designed review
1047,designed scattering theory
3039,designed schematics for figures
7270,designed si sequence for silencing studies
1759,designed simulation experiments
4511,designed simulations
1803,designed some figures
5602,designed staining experiments
2565,designed studies
7770,designed studies 
7772,designed studies for 
5331,designed study 
4840,designed the 
6059,designed the adapter toggle assay
5237,designed the algorithm for the sequencing data analysis
4694,designed the analyses
3470,designed the analyses 
1342,designed the analysis
3274,designed the analysis with 
7519,designed the analytical procedure
7912,designed the association study
4442,designed the beamline for 
3291,designed the browser
7754,designed the chemical work of this study
8360,designed the clinical protocol 
2948,designed the clinical protocol of the study
5716,designed the clinical study
5717,designed the clinical study data management
6218,designed the collagen experiments
1024,designed the compounds
7998,designed the confocal rheometer
4256,designed the constructs
7985,designed the data analysis
4693,designed the data methodology
7162,designed the density functional theory calculations
7637,designed the device 
6244,designed the electron diffractometer
6049,designed the empirical research
2869,designed the ensemble
1806,designed the experiment
3770,designed the experimental setup
53,designed the experiments
4160,designed the experiments 
4893,designed the exposure devices
5362,designed the f experiments
4875,designed the f studies
3882,designed the field experiment
6047,designed the field project 
8281,designed the field study
2165,designed the figure
7161,designed the fly experiments
6316,designed the genetic screen
8415,designed the gramicidin analogues
7596,designed the herbivore resistance experiment
4018,designed the high freezing system
4022,designed the idea 
7538,designed the imaging study 
3956,designed the in situ heating setup
6264,designed the in vivo study
7554,designed the investigation 
6344,designed the laser system
5594,designed the libraries
6776,designed the linguistic stimuli
5908,designed the linkage analysis experiments
721,designed the longitudinal study 
4613,designed the mathematical model
8088,designed the methodological approach 
4019,designed the methodology
2388,designed the methods
7511,designed the micro vector
8326,designed the microscope
5821,designed the mobile application 
3067,designed the model
1785,designed the model 
8251,designed the model of antigen diffusion against liquid flow 
2795,designed the models
2329,designed the molecular dynamics simulation
6080,designed the molecular dynamics simulations
406,designed the neuromorphic system
4702,designed the new agonists
2410,designed the numerical simulations
5030,designed the optimization algorithm 
1595,designed the overall projec 
2060,designed the peptides used for screening
5363,designed the perceptual experiment
1043,designed the phase measurement schemes 
114,designed the project
1035,designed the project 
5379,designed the projects
7381,designed the proteins
7630,designed the protocol to purify skin leukocytes
7732,designed the provided map
5955,designed the quenched experiments
101,designed the research
4441,designed the research plan
1989,designed the research project
3774,designed the research with input from 
462,designed the sample recruitment
5085,designed the sampling
6271,designed the sequence feature vectors 
7698,designed the sequences 
2933,designed the sequencing experiment
5658,designed the sequential choice task
7784,designed the set of peptides
2457,designed the simulation 
7304,designed the simulation model
4588,designed the simulations
6534,designed the small molecule
461,designed the smartphone app for study
4493,designed the software 
3722,designed the spacer identification software
5364,designed the spectral modulations
1765,designed the statistical analysis 
4679,designed the stimuli
5057,designed the stochastic modeling
7846,designed the structure of the paper
7756,designed the structures
2320,designed the stud processed the samples 
4704,designed the studies
342,designed the study
697,designed the study 
6356,designed the study that was overseen by 
6445,designed the study with 
3554,designed the study with help from 
5794,designed the study with input from 
4402,designed the sulfur isotopic study
1380,designed the survey
2781,designed the survey questionnaire
6967,designed the synthesis of core catalysts
3228,designed the theoretical models 
6588,designed the theory
6320,designed the validation experiment
3165,designed the vector
1582,designed the web application
768,designed the webpage of the dataset
2958,designed theoretical model
2711,designed theoretical model 
6723,designed theoretical research
6589,designed theory
1499,designed this project 
5435,designed this study
886,designed toggle
7014,designed tools for cell 
7034,designed tools for data analysis
3424,designed various imaging setups
3610,designed vectors 
6610,designed vibrometry measurements
1767,designed video acquisition system
1843,designed visualizations
318,detected
7094,determination of zygotic expression
6431,determined 
5427,determined crystal structures
3912,determined structures
4936,determined the crystal structure
7602,determined the crystal structure of onartuzumab with 
1581,determined the crystal structure with contributions from 
4343,determined the problem
4220,determined the structure
6279,developed
316,developed 
91,developed a deep neural network
6976,developed a framework of step fitting algorithm 
4311,developed a gridded dataset of maize yield 
1471,developed a new semiempirical linear free energy method to analyze processes
58,developed a preliminary model accounting for photosynthesis labeling lags
8275,developed a simulation model
3562,developed algorithms 
5840,developed an earlier numerical model that was significantly modified by for this manuscript
5178,developed an experimental system
6127,developed analysis software
6749,developed analysis tools
8304,developed analytical software
3839,developed analytical tools
7826,developed assembly software
3002,developed bioinformatics pipeline
5805,developed chemical techniques
7498,developed chronostratigraphy
8309,developed circuitry 
3059,developed climate model forcing
552,developed code
7885,developed computational methods 
7526,developed computational model
1428,developed computational models
943,developed computational tools
7561,developed computer algorithms
5430,developed computer programs used for data analysis
5826,developed concept
4153,developed concept 
8503,developed concepts
4812,developed critical ideas
5479,developed current instrumentation
5475,developed current software for automated data collection 
7263,developed custom software for image analysis
8070,developed databases 
7670,developed diffusion drug resistance model
7026,developed early prototypes for force measurements 
8511,developed electronics
4713,developed emission inventory
5806,developed essential theory
5809,developed essential theory 
7798,developed experimental designs
1876,developed experimental methods
1967,developed experimental setups
8308,developed ferrofluid synthesis protocols
4536,developed figures
6577,developed fingerprint scoring functions
7799,developed flow cytometry methods
6663,developed gene signatures
4773,developed geochemical data
3063,developed graphics
8345,developed hardware 
4697,developed humanized cereblon mice
5382,developed image reconstruction
7112,developed imaging methods
6124,developed instrumentation camera
3998,developed interventions
229,developed material
8298,developed mathematical model
6494,developed mathematical model 
7815,developed meteorological simulations using the 
663,developed methodology
801,developed methodology 
3511,developed methods
8022,developed methods for to analyze 
388,developed methods for using heat as an unconditioned stimulus
6126,developed microscope acquisition software
2573,developed minimalistic scaling relations
1877,developed model 
7320,developed model tools
2031,developed models
1319,developed most of the theory
6572,developed new analytic tools
5845,developed new bioinformatic methods
7595,developed new data analysis techniques
2040,developed new measurement set up
8377,developed new phylogenetic approaches
3837,developed new reagents 
7741,developed new synthetic protocols
6043,developed numerical 
3482,developed numerical methods
846,developed numerical models
8160,developed online versions of tests
5477,developed original instrumentation
6139,developed our treatment of kinetics 
5129,developed particle model 
4161,developed plasmids
5785,developed protocol
6125,developed ptychography reconstruction software
6009,developed pulsed magnetization techniques
4581,developed research idea 
8379,developed semiintact heart preparation 
3551,developed simulated communities
988,developed simulation model
5312,developed simulations 
733,developed software
8193,developed software for data collection
6353,developed software to collect 
7293,developed spatial bioclimatic data
7944,developed split luciferase reporters
8120,developed statistical methods 
6442,developed statistical model
7687,developed stimulus
4862,developed technology
8165,developed the abstract art memory test
6190,developed the adaptation model
5830,developed the algorithm 
4424,developed the algorithms 
534,developed the analysis
5131,developed the analysis algorithm
8061,developed the analytic framework
7445,developed the analytic methods
6765,developed the analytical framework
4992,developed the analytical framework of the model
1546,developed the analytical model for the angle of repose
4640,developed the analytical models
5277,developed the analytical tool
4307,developed the analytical tools
6803,developed the assisted evolution in corals concept
8236,developed the bat identification key
1840,developed the bioinformatic tool
6780,developed the biophysical assays 
1750,developed the biotin block with asymmetric nucleosomes
4789,developed the biting line 
4633,developed the brightfield registration script
923,developed the cell algorithm
8078,developed the cell line
7803,developed the cell line 
7362,developed the clinical protocols 
6533,developed the coating
5648,developed the code
5210,developed the code for simulations
5851,developed the cohort
2372,developed the computational model
6944,developed the computational tool
5545,developed the concept
1618,developed the concept 
4446,developed the concept of statistical approach 
4910,developed the concept of the study
4327,developed the concepts 
1648,developed the concepts in the contribution 
3041,developed the conceptual framework 
5221,developed the conceptual framework for ecosystem services
2446,developed the conceptual framework of the research
2894,developed the connection to the effective 
3206,developed the correlation mapping approach
6000,developed the crown type scoring system
2201,developed the data
1483,developed the data analysis pipeline
6247,developed the data analysis software
6571,developed the data recording infrastructure
1013,developed the database
8234,developed the demographic model
4919,developed the description model
126,developed the device
4788,developed the differentially expressed sequence exploration tool 
4676,developed the dust flux 
7775,developed the electrochemical methods
4283,developed the estimation algorithm
5256,developed the experimental setup
2489,developed the experimental setups 
2390,developed the experimental software to run the experiments
751,developed the fabrication protocol
3628,developed the figures
4847,developed the final theoretical framework
4495,developed the flight simulators
5931,developed the frog survey database
5823,developed the general protein identification approach 
6123,developed the global modeling
6189,developed the growth of nanowires
2730,developed the hypothesis 
7721,developed the ice sheet model
2604,developed the idea
3813,developed the ideas 
752,developed the imaging protocol 
6852,developed the initial dataset
3232,developed the initial idea 
5796,developed the interpretive framework
5290,developed the inverse model 
2540,developed the inversion datasets 
5300,developed the isotope tracer modules of the ocean model
8513,developed the light source
4103,developed the machine
1644,developed the mapping population
3550,developed the mathematical framework
6197,developed the mathematical model
3703,developed the mathematical model 
7232,developed the mathematical model of nucleation
5139,developed the mathematical models
3123,developed the mathematical proofs
8171,developed the mathematical theory of consistency used in the design 
6893,developed the meta framework
2455,developed the method
6576,developed the method for fingerprint prediction
5354,developed the method with input from 
1909,developed the methodology
861,developed the methodology for structural signatures
2927,developed the methodology under the supervision of 
1321,developed the methods
1322,developed the methods 
496,developed the model
2743,developed the model 
7641,developed the model in ref rid 
2902,developed the model of 
739,developed the model with support from 
2895,developed the models
7620,developed the monovalent antibody platform based upon the 
2020,developed the multifidelity deep algorithms
3214,developed the necessary code for data analysis 
3172,developed the network model
7299,developed the network model 
3382,developed the new analytical tool
7776,developed the new femtosecond stimulated capabilities
1748,developed the numerical model 
26,developed the observation chamber
4414,developed the optical tweezing stage 
7430,developed the original framework
502,developed the original idea
7288,developed the package
4584,developed the physical model
7322,developed the pipeline
8260,developed the plant materials
3284,developed the principle idea 
5870,developed the protocol
1435,developed the protocol 
4359,developed the protocol for expressing 
7615,developed the purification methods for onartuzumab
7921,developed the purification protocol used in this work 
7466,developed the relay configuration
7350,developed the reporter cell line
1048,developed the scattering theory
7291,developed the setup of the model
5355,developed the simulation code with input from 
2172,developed the simulation model
8518,developed the single 
1723,developed the software for tracking fluorescent sperm
193,developed the software used
2301,developed the spiral phase plate
8238,developed the st approach
5556,developed the stochastic model
6937,developed the stochastic theoretical framework
4370,developed the strategy 
4354,developed the strategy to isolate on resistant mutants
3972,developed the stratified reactivity framework
5424,developed the structure model
5306,developed the study
483,developed the study concept
5112,developed the study concept 
2193,developed the study with input from 
3341,developed the system for data curation 
7099,developed the system hardware 
5511,developed the techniqu 
750,developed the theoretical model
1300,developed the theoretical model 
3160,developed the theoretical model of chiral excitons
4947,developed the theoretical model of defect interactions
7513,developed the theoretical modeling
6648,developed the theoretical models
4417,developed the theories
277,developed the theory
3706,developed the theory 
7029,developed the toggle system
8459,developed the tunable promoter system
1795,developed the underlying model that is being tested
8163,developed the verbal paired memory test 
8372,developed the web site
8311,developed theoretical 
3739,developed theoretical models 
5077,developed theoretical results
2286,developed theory
5177,developed theory 
7933,developed tools
888,developed tools for analysis
1769,developed tracking software
7393,developed tumor banking protocols 
8147,development
6634,development of the analysis methods
4329,device design
1834,devised models
6960,devised the age mortality model 
5353,devised the approach in discussion with 
3797,devised the astrophysical model
6870,devised the discharge estimation method
6874,devised the experimental plan 
2889,devised the initial concepts 
2581,devised the m system
1725,devised the mathematical model
5243,devised the method for reidentification
6429,devised the project
7354,devised the proof for maximally coherent networks
2582,devised the system
4032,devised the transmission chamber
7724,diagnosed patients
7455,diagnostics
3776,did analysis
1519,did blotting for telomere length
2444,did calculations
2843,did calorimetric measurements
8478,did clinical studies
579,did critical studies needed to finalize the project per a reviewer suggestion
4690,did extraction 
79,did fieldwork
1756,did fieldwork for sample collections
81,did geochemical analysis
5338,did geological interpretation
6728,did global upscaling 
6039,did image analysis
8047,did microscopy
8428,did model simulations
6546,did modeling
6884,did modeling work
1216,did preliminary experiments
82,did tectonic interpretation 
6069,did the assays 
7464,did the behavioral analysis
6067,did the bioinformatic analysis with the help of 
4477,did the cell death assay in ventral midbrain dopaminergic neurons
1516,did the clinical analysis of the dataset
3126,did the coalescence modeling
730,did the cohort recruitment
2776,did the conceptualization of the research question
7457,did the data analysis
7794,did the experimental work
1318,did the experiments
2078,did the gene mining 
7796,did the genome analysis 
7795,did the genome mapping 
4474,did the in vitro binding
7427,did the isotopic analyses
1829,did the modeling
1778,did the numerical analysis
8175,did the numerical modeling
2080,did the phylogenetic analyses
2081,did the positive selection analyses
6149,did the program writing
8254,did the simulations
3788,did the synchrotron experiment
1779,did the theoretical analysis
2082,did the transcriptomics
3128,did work
1885,did zircon saturation modeling
4596,diffraction
1603,diffusion tensor imaging
3652,digitization of the tracks
5654,digitized 
2502,directed
1527,directed 
8383,directed all aspects of design 
2788,directed all studies
8286,directed c synthesis 
7104,directed clinical site
4793,directed clumped isotope analysis
6945,directed collaborations
7569,directed data analyses
8083,directed excavation
6057,directed excavations
4530,directed excavations at 
6694,directed experiments
7340,directed experiments 
8102,directed field studies 
4606,directed genome analyses 
4794,directed laser ablation analysis
5109,directed model development
3097,directed part of the collaborative efforts
2255,directed research
987,directed research for the additional crop testing results described in the article
2538,directed revisions
7339,directed ribosome purification
6056,directed sampling of archaeological material
3474,directed study
5049,directed the construction 
958,directed the experiments
1432,directed the experiments 
6883,directed the overall project
789,directed the project
4222,directed the project 
1312,directed the research
3934,directed the research 
192,directed the study
915,directed the study with input from 
1881,directed the team
4194,directed the work
3576,directed the work from beginning to end
4543,directed this project
1888,directing the remotely operated vehicles 
1575,direction
5170,direction from the inception of this work
3653,direction of the experimental study
6869,discovered at hydraulic geometry
7697,discovered the fungus
4413,discovered the gco genes
634,discovered the homology of to proteasome subunits 
637,discovered the ligase activity of 
6881,discovered the mouse phenotype
2728,discovered the phenomenon 
4184,discovered the specimen
7517,discovered toggle noncephalic photoreceptors
307,discussed
1743,discussed 
639,discussed all results
2600,discussed analysis 
614,discussed approach 
303,discussed characterizations
838,discussed data
253,discussed data 
5214,discussed experiments
3798,discussed extensively the framework of the presentation with the other authors
5075,discussed interpretation of the results
2896,discussed quality of sequencing data
5068,discussed research
4754,discussed research in the light of biosensor 
889,discussed results
142,discussed results 
1688,discussed results with authors
1857,discussed study design
